city,measurement,element_name,description,ds
新竹縣,"{'elementName': 'PoP12h', 'description': '12小時降雨機率', 'time': [{'startTime': '2023-01-08 00:00:00', 'endTime': '2023-01-08 06:00:00', 'elementValue': [{'value': '0', 'measures': '百分比'}]}, {'startTime': '2023-01-08 06:00:00', 'endTime': '2023-01-08 18:00:00', 'elementValue': [{'value': '0', 'measures': '百分比'}]}, {'startTime': '2023-01-08 18:00:00', 'endTime': '2023-01-09 06:00:00', 'elementValue': [{'value': '10', 'measures': '百分比'}]}, {'startTime': '2023-01-09 06:00:00', 'endTime': '2023-01-09 18:00:00', 'elementValue': [{'value': '10', 'measures': '百分比'}]}, {'startTime': '2023-01-09 18:00:00', 'endTime': '2023-01-10 06:00:00', 'elementValue': [{'value': '30', 'measures': '百分比'}]}, {'startTime': '2023-01-10 06:00:00', 'endTime': '2023-01-10 18:00:00', 'elementValue': [{'value': '20', 'measures': '百分比'}]}, {'startTime': '2023-01-10 18:00:00', 'endTime': '2023-01-11 06:00:00', 'elementValue': [{'value': '30', 'measures': '百分比'}]}, {'startTime': '2023-01-11 06:00:00', 'endTime': '2023-01-11 18:00:00', 'elementValue': [{'value': ' ', 'measures': '百分比'}]}, {'startTime': '2023-01-11 18:00:00', 'endTime': '2023-01-12 06:00:00', 'elementValue': [{'value': ' ', 'measures': '百分比'}]}, {'startTime': '2023-01-12 06:00:00', 'endTime': '2023-01-12 18:00:00', 'elementValue': [{'value': ' ', 'measures': '百分比'}]}, {'startTime': '2023-01-12 18:00:00', 'endTime': '2023-01-13 06:00:00', 'elementValue': [{'value': ' ', 'measures': '百分比'}]}, {'startTime': '2023-01-13 06:00:00', 'endTime': '2023-01-13 18:00:00', 'elementValue': [{'value': ' ', 'measures': '百分比'}]}, {'startTime': '2023-01-13 18:00:00', 'endTime': '2023-01-14 06:00:00', 'elementValue': [{'value': ' ', 'measures': '百分比'}]}, {'startTime': '2023-01-14 06:00:00', 'endTime': '2023-01-14 18:00:00', 'elementValue': [{'value': ' ', 'measures': '百分比'}]}, {'startTime': '2023-01-14 18:00:00', 'endTime': '2023-01-15 06:00:00', 'elementValue': [{'value': ' ', 'measures': '百分比'}]}]}",PoP12h,12小時降雨機率,2023-01-07 13:04:22
新竹縣,"{'elementName': 'T', 'description': '平均溫度', 'time': [{'startTime': '2023-01-08 00:00:00', 'endTime': '2023-01-08 06:00:00', 'elementValue': [{'value': '15', 'measures': '攝氏度'}]}, {'startTime': '2023-01-08 06:00:00', 'endTime': '2023-01-08 18:00:00', 'elementValue': [{'value': '20', 'measures': '攝氏度'}]}, {'startTime': '2023-01-08 18:00:00', 'endTime': '2023-01-09 06:00:00', 'elementValue': [{'value': '18', 'measures': '攝氏度'}]}, {'startTime': '2023-01-09 06:00:00', 'endTime': '2023-01-09 18:00:00', 'elementValue': [{'value': '19', 'measures': '攝氏度'}]}, {'startTime': '2023-01-09 18:00:00', 'endTime': '2023-01-10 06:00:00', 'elementValue': [{'value': '17', 'measures': '攝氏度'}]}, {'startTime': '2023-01-10 06:00:00', 'endTime': '2023-01-10 18:00:00', 'elementValue': [{'value': '19', 'measures': '攝氏度'}]}, {'startTime': '2023-01-10 18:00:00', 'endTime': '2023-01-11 06:00:00', 'elementValue': [{'value': '18', 'measures': '攝氏度'}]}, {'startTime': '2023-01-11 06:00:00', 'endTime': '2023-01-11 18:00:00', 'elementValue': [{'value': '20', 'measures': '攝氏度'}]}, {'startTime': '2023-01-11 18:00:00', 'endTime': '2023-01-12 06:00:00', 'elementValue': [{'value': '18', 'measures': '攝氏度'}]}, {'startTime': '2023-01-12 06:00:00', 'endTime': '2023-01-12 18:00:00', 'elementValue': [{'value': '20', 'measures': '攝氏度'}]}, {'startTime': '2023-01-12 18:00:00', 'endTime': '2023-01-13 06:00:00', 'elementValue': [{'value': '18', 'measures': '攝氏度'}]}, {'startTime': '2023-01-13 06:00:00', 'endTime': '2023-01-13 18:00:00', 'elementValue': [{'value': '20', 'measures': '攝氏度'}]}, {'startTime': '2023-01-13 18:00:00', 'endTime': '2023-01-14 06:00:00', 'elementValue': [{'value': '18', 'measures': '攝氏度'}]}, {'startTime': '2023-01-14 06:00:00', 'endTime': '2023-01-14 18:00:00', 'elementValue': [{'value': '20', 'measures': '攝氏度'}]}, {'startTime': '2023-01-14 18:00:00', 'endTime': '2023-01-15 06:00:00', 'elementValue': [{'value': '19', 'measures': '攝氏度'}]}]}",T,平均溫度,2023-01-07 13:04:22
新竹縣,"{'elementName': 'RH', 'description': '平均相對濕度', 'time': [{'startTime': '2023-01-08 00:00:00', 'endTime': '2023-01-08 06:00:00', 'elementValue': [{'value': '83', 'measures': '百分比'}]}, {'startTime': '2023-01-08 06:00:00', 'endTime': '2023-01-08 18:00:00', 'elementValue': [{'value': '73', 'measures': '百分比'}]}, {'startTime': '2023-01-08 18:00:00', 'endTime': '2023-01-09 06:00:00', 'elementValue': [{'value': '85', 'measures': '百分比'}]}, {'startTime': '2023-01-09 06:00:00', 'endTime': '2023-01-09 18:00:00', 'elementValue': [{'value': '86', 'measures': '百分比'}]}, {'startTime': '2023-01-09 18:00:00', 'endTime': '2023-01-10 06:00:00', 'elementValue': [{'value': '97', 'measures': '百分比'}]}, {'startTime': '2023-01-10 06:00:00', 'endTime': '2023-01-10 18:00:00', 'elementValue': [{'value': '80', 'measures': '百分比'}]}, {'startTime': '2023-01-10 18:00:00', 'endTime': '2023-01-11 06:00:00', 'elementValue': [{'value': '88', 'measures': '百分比'}]}, {'startTime': '2023-01-11 06:00:00', 'endTime': '2023-01-11 18:00:00', 'elementValue': [{'value': '88', 'measures': '百分比'}]}, {'startTime': '2023-01-11 18:00:00', 'endTime': '2023-01-12 06:00:00', 'elementValue': [{'value': '92', 'measures': '百分比'}]}, {'startTime': '2023-01-12 06:00:00', 'endTime': '2023-01-12 18:00:00', 'elementValue': [{'value': '84', 'measures': '百分比'}]}, {'startTime': '2023-01-12 18:00:00', 'endTime': '2023-01-13 06:00:00', 'elementValue': [{'value': '97', 'measures': '百分比'}]}, {'startTime': '2023-01-13 06:00:00', 'endTime': '2023-01-13 18:00:00', 'elementValue': [{'value': '87', 'measures': '百分比'}]}, {'startTime': '2023-01-13 18:00:00', 'endTime': '2023-01-14 06:00:00', 'elementValue': [{'value': '96', 'measures': '百分比'}]}, {'startTime': '2023-01-14 06:00:00', 'endTime': '2023-01-14 18:00:00', 'elementValue': [{'value': '78', 'measures': '百分比'}]}, {'startTime': '2023-01-14 18:00:00', 'endTime': '2023-01-15 06:00:00', 'elementValue': [{'value': '90', 'measures': '百分比'}]}]}",RH,平均相對濕度,2023-01-07 13:04:22
新竹縣,"{'elementName': 'MinCI', 'description': '最小舒適度指數', 'time': [{'startTime': '2023-01-08 00:00:00', 'endTime': '2023-01-08 06:00:00', 'elementValue': [{'value': '15', 'measures': 'NA'}, {'value': '寒冷', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-08 06:00:00', 'endTime': '2023-01-08 18:00:00', 'elementValue': [{'value': '14', 'measures': 'NA'}, {'value': '寒冷', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-08 18:00:00', 'endTime': '2023-01-09 06:00:00', 'elementValue': [{'value': '16', 'measures': 'NA'}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-09 06:00:00', 'endTime': '2023-01-09 18:00:00', 'elementValue': [{'value': '16', 'measures': 'NA'}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-09 18:00:00', 'endTime': '2023-01-10 06:00:00', 'elementValue': [{'value': '17', 'measures': 'NA'}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-10 06:00:00', 'endTime': '2023-01-10 18:00:00', 'elementValue': [{'value': '16', 'measures': 'NA'}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-10 18:00:00', 'endTime': '2023-01-11 06:00:00', 'elementValue': [{'value': '17', 'measures': 'NA'}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-11 06:00:00', 'endTime': '2023-01-11 18:00:00', 'elementValue': [{'value': '17', 'measures': 'NA'}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-11 18:00:00', 'endTime': '2023-01-12 06:00:00', 'elementValue': [{'value': '17', 'measures': 'NA'}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-12 06:00:00', 'endTime': '2023-01-12 18:00:00', 'elementValue': [{'value': '17', 'measures': 'NA'}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-12 18:00:00', 'endTime': '2023-01-13 06:00:00', 'elementValue': [{'value': '17', 'measures': 'NA'}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-13 06:00:00', 'endTime': '2023-01-13 18:00:00', 'elementValue': [{'value': '17', 'measures': 'NA'}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-13 18:00:00', 'endTime': '2023-01-14 06:00:00', 'elementValue': [{'value': '17', 'measures': 'NA'}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-14 06:00:00', 'endTime': '2023-01-14 18:00:00', 'elementValue': [{'value': '17', 'measures': 'NA'}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-14 18:00:00', 'endTime': '2023-01-15 06:00:00', 'elementValue': [{'value': '18', 'measures': 'NA'}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}]}",MinCI,最小舒適度指數,2023-01-07 13:04:22
新竹縣,"{'elementName': 'WS', 'description': '最大風速', 'time': [{'startTime': '2023-01-08 00:00:00', 'endTime': '2023-01-08 06:00:00', 'elementValue': [{'value': '1', 'measures': '公尺/秒'}, {'value': '<= 1', 'measures': '蒲福風級'}]}, {'startTime': '2023-01-08 06:00:00', 'endTime': '2023-01-08 18:00:00', 'elementValue': [{'value': '0', 'measures': '公尺/秒'}, {'value': '<= 1', 'measures': '蒲福風級'}]}, {'startTime': '2023-01-08 18:00:00', 'endTime': '2023-01-09 06:00:00', 'elementValue': [{'value': '0', 'measures': '公尺/秒'}, {'value': '<= 1', 'measures': '蒲福風級'}]}, {'startTime': '2023-01-09 06:00:00', 'endTime': '2023-01-09 18:00:00', 'elementValue': [{'value': '0', 'measures': '公尺/秒'}, {'value': '<= 1', 'measures': '蒲福風級'}]}, {'startTime': '2023-01-09 18:00:00', 'endTime': '2023-01-10 06:00:00', 'elementValue': [{'value': '0', 'measures': '公尺/秒'}, {'value': '<= 1', 'measures': '蒲福風級'}]}, {'startTime': '2023-01-10 06:00:00', 'endTime': '2023-01-10 18:00:00', 'elementValue': [{'value': '4', 'measures': '公尺/秒'}, {'value': '3', 'measures': '蒲福風級'}]}, {'startTime': '2023-01-10 18:00:00', 'endTime': '2023-01-11 06:00:00', 'elementValue': [{'value': '2', 'measures': '公尺/秒'}, {'value': '2', 'measures': '蒲福風級'}]}, {'startTime': '2023-01-11 06:00:00', 'endTime': '2023-01-11 18:00:00', 'elementValue': [{'value': '0', 'measures': '公尺/秒'}, {'value': '<= 1', 'measures': '蒲福風級'}]}, {'startTime': '2023-01-11 18:00:00', 'endTime': '2023-01-12 06:00:00', 'elementValue': [{'value': '0', 'measures': '公尺/秒'}, {'value': '<= 1', 'measures': '蒲福風級'}]}, {'startTime': '2023-01-12 06:00:00', 'endTime': '2023-01-12 18:00:00', 'elementValue': [{'value': '0', 'measures': '公尺/秒'}, {'value': '<= 1', 'measures': '蒲福風級'}]}, {'startTime': '2023-01-12 18:00:00', 'endTime': '2023-01-13 06:00:00', 'elementValue': [{'value': '0', 'measures': '公尺/秒'}, {'value': '<= 1', 'measures': '蒲福風級'}]}, {'startTime': '2023-01-13 06:00:00', 'endTime': '2023-01-13 18:00:00', 'elementValue': [{'value': '2', 'measures': '公尺/秒'}, {'value': '2', 'measures': '蒲福風級'}]}, {'startTime': '2023-01-13 18:00:00', 'endTime': '2023-01-14 06:00:00', 'elementValue': [{'value': '1', 'measures': '公尺/秒'}, {'value': '<= 1', 'measures': '蒲福風級'}]}, {'startTime': '2023-01-14 06:00:00', 'endTime': '2023-01-14 18:00:00', 'elementValue': [{'value': '1', 'measures': '公尺/秒'}, {'value': '<= 1', 'measures': '蒲福風級'}]}, {'startTime': '2023-01-14 18:00:00', 'endTime': '2023-01-15 06:00:00', 'elementValue': [{'value': '2', 'measures': '公尺/秒'}, {'value': '2', 'measures': '蒲福風級'}]}]}",WS,最大風速,2023-01-07 13:04:22
新竹縣,"{'elementName': 'MaxAT', 'description': '最高體感溫度', 'time': [{'startTime': '2023-01-08 00:00:00', 'endTime': '2023-01-08 06:00:00', 'elementValue': [{'value': '16', 'measures': '攝氏度'}]}, {'startTime': '2023-01-08 06:00:00', 'endTime': '2023-01-08 18:00:00', 'elementValue': [{'value': '26', 'measures': '攝氏度'}]}, {'startTime': '2023-01-08 18:00:00', 'endTime': '2023-01-09 06:00:00', 'elementValue': [{'value': '21', 'measures': '攝氏度'}]}, {'startTime': '2023-01-09 06:00:00', 'endTime': '2023-01-09 18:00:00', 'elementValue': [{'value': '24', 'measures': '攝氏度'}]}, {'startTime': '2023-01-09 18:00:00', 'endTime': '2023-01-10 06:00:00', 'elementValue': [{'value': '21', 'measures': '攝氏度'}]}, {'startTime': '2023-01-10 06:00:00', 'endTime': '2023-01-10 18:00:00', 'elementValue': [{'value': '21', 'measures': '攝氏度'}]}, {'startTime': '2023-01-10 18:00:00', 'endTime': '2023-01-11 06:00:00', 'elementValue': [{'value': '20', 'measures': '攝氏度'}]}, {'startTime': '2023-01-11 06:00:00', 'endTime': '2023-01-11 18:00:00', 'elementValue': [{'value': '25', 'measures': '攝氏度'}]}, {'startTime': '2023-01-11 18:00:00', 'endTime': '2023-01-12 06:00:00', 'elementValue': [{'value': '21', 'measures': '攝氏度'}]}, {'startTime': '2023-01-12 06:00:00', 'endTime': '2023-01-12 18:00:00', 'elementValue': [{'value': '25', 'measures': '攝氏度'}]}, {'startTime': '2023-01-12 18:00:00', 'endTime': '2023-01-13 06:00:00', 'elementValue': [{'value': '21', 'measures': '攝氏度'}]}, {'startTime': '2023-01-13 06:00:00', 'endTime': '2023-01-13 18:00:00', 'elementValue': [{'value': '25', 'measures': '攝氏度'}]}, {'startTime': '2023-01-13 18:00:00', 'endTime': '2023-01-14 06:00:00', 'elementValue': [{'value': '21', 'measures': '攝氏度'}]}, {'startTime': '2023-01-14 06:00:00', 'endTime': '2023-01-14 18:00:00', 'elementValue': [{'value': '25', 'measures': '攝氏度'}]}, {'startTime': '2023-01-14 18:00:00', 'endTime': '2023-01-15 06:00:00', 'elementValue': [{'value': '22', 'measures': '攝氏度'}]}]}",MaxAT,最高體感溫度,2023-01-07 13:04:22
新竹縣,"{'elementName': 'Wx', 'description': '天氣現象', 'time': [{'startTime': '2023-01-08 00:00:00', 'endTime': '2023-01-08 06:00:00', 'elementValue': [{'value': '晴時多雲', 'measures': '自定義 Wx 文字'}, {'value': '02', 'measures': '自定義 Wx 單位'}]}, {'startTime': '2023-01-08 06:00:00', 'endTime': '2023-01-08 18:00:00', 'elementValue': [{'value': '晴時多雲', 'measures': '自定義 Wx 文字'}, {'value': '02', 'measures': '自定義 Wx 單位'}]}, {'startTime': '2023-01-08 18:00:00', 'endTime': '2023-01-09 06:00:00', 'elementValue': [{'value': '多雲', 'measures': '自定義 Wx 文字'}, {'value': '04', 'measures': '自定義 Wx 單位'}]}, {'startTime': '2023-01-09 06:00:00', 'endTime': '2023-01-09 18:00:00', 'elementValue': [{'value': '多雲', 'measures': '自定義 Wx 文字'}, {'value': '04', 'measures': '自定義 Wx 單位'}]}, {'startTime': '2023-01-09 18:00:00', 'endTime': '2023-01-10 06:00:00', 'elementValue': [{'value': '多雲時陰短暫雨', 'measures': '自定義 Wx 文字'}, {'value': '09', 'measures': '自定義 Wx 單位'}]}, {'startTime': '2023-01-10 06:00:00', 'endTime': '2023-01-10 18:00:00', 'elementValue': [{'value': '多雲', 'measures': '自定義 Wx 文字'}, {'value': '04', 'measures': '自定義 Wx 單位'}]}, {'startTime': '2023-01-10 18:00:00', 'endTime': '2023-01-11 06:00:00', 'elementValue': [{'value': '多雲短暫雨', 'measures': '自定義 Wx 文字'}, {'value': '08', 'measures': '自定義 Wx 單位'}]}, {'startTime': '2023-01-11 06:00:00', 'endTime': '2023-01-11 18:00:00', 'elementValue': [{'value': '多雲', 'measures': '自定義 Wx 文字'}, {'value': '04', 'measures': '自定義 Wx 單位'}]}, {'startTime': '2023-01-11 18:00:00', 'endTime': '2023-01-12 06:00:00', 'elementValue': [{'value': '多雲', 'measures': '自定義 Wx 文字'}, {'value': '04', 'measures': '自定義 Wx 單位'}]}, {'startTime': '2023-01-12 06:00:00', 'endTime': '2023-01-12 18:00:00', 'elementValue': [{'value': '晴時多雲', 'measures': '自定義 Wx 文字'}, {'value': '02', 'measures': '自定義 Wx 單位'}]}, {'startTime': '2023-01-12 18:00:00', 'endTime': '2023-01-13 06:00:00', 'elementValue': [{'value': '多雲', 'measures': '自定義 Wx 文字'}, {'value': '04', 'measures': '自定義 Wx 單位'}]}, {'startTime': '2023-01-13 06:00:00', 'endTime': '2023-01-13 18:00:00', 'elementValue': [{'value': '晴時多雲', 'measures': '自定義 Wx 文字'}, {'value': '02', 'measures': '自定義 Wx 單位'}]}, {'startTime': '2023-01-13 18:00:00', 'endTime': '2023-01-14 06:00:00', 'elementValue': [{'value': '晴時多雲', 'measures': '自定義 Wx 文字'}, {'value': '02', 'measures': '自定義 Wx 單位'}]}, {'startTime': '2023-01-14 06:00:00', 'endTime': '2023-01-14 18:00:00', 'elementValue': [{'value': '晴時多雲', 'measures': '自定義 Wx 文字'}, {'value': '02', 'measures': '自定義 Wx 單位'}]}, {'startTime': '2023-01-14 18:00:00', 'endTime': '2023-01-15 06:00:00', 'elementValue': [{'value': '多雲時晴', 'measures': '自定義 Wx 文字'}, {'value': '03', 'measures': '自定義 Wx 單位'}]}]}",Wx,天氣現象,2023-01-07 13:04:22
新竹縣,"{'elementName': 'MaxCI', 'description': '最大舒適度指數', 'time': [{'startTime': '2023-01-08 00:00:00', 'endTime': '2023-01-08 06:00:00', 'elementValue': [{'value': '16', 'measures': 'NA '}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-08 06:00:00', 'endTime': '2023-01-08 18:00:00', 'elementValue': [{'value': '22', 'measures': 'NA '}, {'value': '舒適', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-08 18:00:00', 'endTime': '2023-01-09 06:00:00', 'elementValue': [{'value': '19', 'measures': 'NA '}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-09 06:00:00', 'endTime': '2023-01-09 18:00:00', 'elementValue': [{'value': '20', 'measures': 'NA '}, {'value': '舒適', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-09 18:00:00', 'endTime': '2023-01-10 06:00:00', 'elementValue': [{'value': '18', 'measures': 'NA '}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-10 06:00:00', 'endTime': '2023-01-10 18:00:00', 'elementValue': [{'value': '20', 'measures': 'NA '}, {'value': '舒適', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-10 18:00:00', 'endTime': '2023-01-11 06:00:00', 'elementValue': [{'value': '18', 'measures': 'NA '}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-11 06:00:00', 'endTime': '2023-01-11 18:00:00', 'elementValue': [{'value': '21', 'measures': 'NA '}, {'value': '舒適', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-11 18:00:00', 'endTime': '2023-01-12 06:00:00', 'elementValue': [{'value': '19', 'measures': 'NA '}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-12 06:00:00', 'endTime': '2023-01-12 18:00:00', 'elementValue': [{'value': '21', 'measures': 'NA '}, {'value': '舒適', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-12 18:00:00', 'endTime': '2023-01-13 06:00:00', 'elementValue': [{'value': '19', 'measures': 'NA '}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-13 06:00:00', 'endTime': '2023-01-13 18:00:00', 'elementValue': [{'value': '21', 'measures': 'NA '}, {'value': '舒適', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-13 18:00:00', 'endTime': '2023-01-14 06:00:00', 'elementValue': [{'value': '19', 'measures': 'NA '}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-14 06:00:00', 'endTime': '2023-01-14 18:00:00', 'elementValue': [{'value': '21', 'measures': 'NA '}, {'value': '舒適', 'measures': '自定義 CI 文字'}]}, {'startTime': '2023-01-14 18:00:00', 'endTime': '2023-01-15 06:00:00', 'elementValue': [{'value': '19', 'measures': 'NA '}, {'value': '稍有寒意', 'measures': '自定義 CI 文字'}]}]}",MaxCI,最大舒適度指數,2023-01-07 13:04:22
新竹縣,"{'elementName': 'MinT', 'description': '最低溫度', 'time': [{'startTime': '2023-01-08 00:00:00', 'endTime': '2023-01-08 06:00:00', 'elementValue': [{'value': '15', 'measures': '攝氏度'}]}, {'startTime': '2023-01-08 06:00:00', 'endTime': '2023-01-08 18:00:00', 'elementValue': [{'value': '14', 'measures': '攝氏度'}]}, {'startTime': '2023-01-08 18:00:00', 'endTime': '2023-01-09 06:00:00', 'elementValue': [{'value': '17', 'measures': '攝氏度'}]}, {'startTime': '2023-01-09 06:00:00', 'endTime': '2023-01-09 18:00:00', 'elementValue': [{'value': '16', 'measures': '攝氏度'}]}, {'startTime': '2023-01-09 18:00:00', 'endTime': '2023-01-10 06:00:00', 'elementValue': [{'value': '17', 'measures': '攝氏度'}]}, {'startTime': '2023-01-10 06:00:00', 'endTime': '2023-01-10 18:00:00', 'elementValue': [{'value': '16', 'measures': '攝氏度'}]}, {'startTime': '2023-01-10 18:00:00', 'endTime': '2023-01-11 06:00:00', 'elementValue': [{'value': '17', 'measures': '攝氏度'}]}, {'startTime': '2023-01-11 06:00:00', 'endTime': '2023-01-11 18:00:00', 'elementValue': [{'value': '17', 'measures': '攝氏度'}]}, {'startTime': '2023-01-11 18:00:00', 'endTime': '2023-01-12 06:00:00', 'elementValue': [{'value': '17', 'measures': '攝氏度'}]}, {'startTime': '2023-01-12 06:00:00', 'endTime': '2023-01-12 18:00:00', 'elementValue': [{'value': '17', 'measures': '攝氏度'}]}, {'startTime': '2023-01-12 18:00:00', 'endTime': '2023-01-13 06:00:00', 'elementValue': [{'value': '17', 'measures': '攝氏度'}]}, {'startTime': '2023-01-13 06:00:00', 'endTime': '2023-01-13 18:00:00', 'elementValue': [{'value': '17', 'measures': '攝氏度'}]}, {'startTime': '2023-01-13 18:00:00', 'endTime': '2023-01-14 06:00:00', 'elementValue': [{'value': '17', 'measures': '攝氏度'}]}, {'startTime': '2023-01-14 06:00:00', 'endTime': '2023-01-14 18:00:00', 'elementValue': [{'value': '17', 'measures': '攝氏度'}]}, {'startTime': '2023-01-14 18:00:00', 'endTime': '2023-01-15 06:00:00', 'elementValue': [{'value': '18', 'measures': '攝氏度'}]}]}",MinT,最低溫度,2023-01-07 13:04:22
新竹縣,"{'elementName': 'UVI', 'description': '紫外線指數', 'time': [{'startTime': '2023-01-08 06:00:00', 'endTime': '2023-01-08 18:00:00', 'elementValue': [{'value': '5', 'measures': '紫外線指數'}, {'value': '中量級', 'measures': '曝曬級數'}]}, {'startTime': '2023-01-09 06:00:00', 'endTime': '2023-01-09 18:00:00', 'elementValue': [{'value': '4', 'measures': '紫外線指數'}, {'value': '中量級', 'measures': '曝曬級數'}]}, {'startTime': '2023-01-10 06:00:00', 'endTime': '2023-01-10 18:00:00', 'elementValue': [{'value': '4', 'measures': '紫外線指數'}, {'value': '中量級', 'measures': '曝曬級數'}]}, {'startTime': '2023-01-11 06:00:00', 'endTime': '2023-01-11 18:00:00', 'elementValue': [{'value': '3', 'measures': '紫外線指數'}, {'value': '中量級', 'measures': '曝曬級數'}]}, {'startTime': '2023-01-12 06:00:00', 'endTime': '2023-01-12 18:00:00', 'elementValue': [{'value': '5', 'measures': '紫外線指數'}, {'value': '中量級', 'measures': '曝曬級數'}]}, {'startTime': '2023-01-13 06:00:00', 'endTime': '2023-01-13 18:00:00', 'elementValue': [{'value': '4', 'measures': '紫外線指數'}, {'value': '中量級', 'measures': '曝曬級數'}]}, {'startTime': '2023-01-14 06:00:00', 'endTime': '2023-01-14 18:00:00', 'elementValue': [{'value': '5', 'measures': '紫外線指數'}, {'value': '中量級', 'measures': '曝曬級數'}]}]}",UVI,紫外線指數,2023-01-07 13:04:22
