city,start_time,end_time,value,element_name,element_description
新竹縣,2023-01-08 00:00:00,2023-01-08 06:00:00,15,T,temperature
新竹縣,2023-01-08 06:00:00,2023-01-08 18:00:00,20,T,temperature
新竹縣,2023-01-08 18:00:00,2023-01-09 06:00:00,18,T,temperature
新竹縣,2023-01-09 06:00:00,2023-01-09 18:00:00,19,T,temperature
新竹縣,2023-01-09 18:00:00,2023-01-10 06:00:00,17,T,temperature
新竹縣,2023-01-10 06:00:00,2023-01-10 18:00:00,19,T,temperature
新竹縣,2023-01-10 18:00:00,2023-01-11 06:00:00,18,T,temperature
新竹縣,2023-01-11 06:00:00,2023-01-11 18:00:00,20,T,temperature
新竹縣,2023-01-11 18:00:00,2023-01-12 06:00:00,18,T,temperature
新竹縣,2023-01-12 06:00:00,2023-01-12 18:00:00,20,T,temperature
新竹縣,2023-01-12 18:00:00,2023-01-13 06:00:00,18,T,temperature
新竹縣,2023-01-13 06:00:00,2023-01-13 18:00:00,20,T,temperature
新竹縣,2023-01-13 18:00:00,2023-01-14 06:00:00,18,T,temperature
新竹縣,2023-01-14 06:00:00,2023-01-14 18:00:00,20,T,temperature
新竹縣,2023-01-14 18:00:00,2023-01-15 06:00:00,19,T,temperature
金門縣,2023-01-08 00:00:00,2023-01-08 06:00:00,14,T,temperature
金門縣,2023-01-08 06:00:00,2023-01-08 18:00:00,17,T,temperature
金門縣,2023-01-08 18:00:00,2023-01-09 06:00:00,16,T,temperature
金門縣,2023-01-09 06:00:00,2023-01-09 18:00:00,17,T,temperature
金門縣,2023-01-09 18:00:00,2023-01-10 06:00:00,16,T,temperature
金門縣,2023-01-10 06:00:00,2023-01-10 18:00:00,17,T,temperature
金門縣,2023-01-10 18:00:00,2023-01-11 06:00:00,15,T,temperature
金門縣,2023-01-11 06:00:00,2023-01-11 18:00:00,17,T,temperature
金門縣,2023-01-11 18:00:00,2023-01-12 06:00:00,15,T,temperature
金門縣,2023-01-12 06:00:00,2023-01-12 18:00:00,17,T,temperature
金門縣,2023-01-12 18:00:00,2023-01-13 06:00:00,16,T,temperature
金門縣,2023-01-13 06:00:00,2023-01-13 18:00:00,17,T,temperature
金門縣,2023-01-13 18:00:00,2023-01-14 06:00:00,17,T,temperature
金門縣,2023-01-14 06:00:00,2023-01-14 18:00:00,18,T,temperature
金門縣,2023-01-14 18:00:00,2023-01-15 06:00:00,16,T,temperature
苗栗縣,2023-01-08 00:00:00,2023-01-08 06:00:00,15,T,temperature
苗栗縣,2023-01-08 06:00:00,2023-01-08 18:00:00,19,T,temperature
苗栗縣,2023-01-08 18:00:00,2023-01-09 06:00:00,18,T,temperature
苗栗縣,2023-01-09 06:00:00,2023-01-09 18:00:00,19,T,temperature
苗栗縣,2023-01-09 18:00:00,2023-01-10 06:00:00,17,T,temperature
苗栗縣,2023-01-10 06:00:00,2023-01-10 18:00:00,19,T,temperature
苗栗縣,2023-01-10 18:00:00,2023-01-11 06:00:00,17,T,temperature
苗栗縣,2023-01-11 06:00:00,2023-01-11 18:00:00,19,T,temperature
苗栗縣,2023-01-11 18:00:00,2023-01-12 06:00:00,18,T,temperature
苗栗縣,2023-01-12 06:00:00,2023-01-12 18:00:00,19,T,temperature
苗栗縣,2023-01-12 18:00:00,2023-01-13 06:00:00,18,T,temperature
苗栗縣,2023-01-13 06:00:00,2023-01-13 18:00:00,20,T,temperature
苗栗縣,2023-01-13 18:00:00,2023-01-14 06:00:00,19,T,temperature
苗栗縣,2023-01-14 06:00:00,2023-01-14 18:00:00,21,T,temperature
苗栗縣,2023-01-14 18:00:00,2023-01-15 06:00:00,19,T,temperature
新北市,2023-01-08 00:00:00,2023-01-08 06:00:00,16,T,temperature
新北市,2023-01-08 06:00:00,2023-01-08 18:00:00,20,T,temperature
新北市,2023-01-08 18:00:00,2023-01-09 06:00:00,18,T,temperature
新北市,2023-01-09 06:00:00,2023-01-09 18:00:00,20,T,temperature
新北市,2023-01-09 18:00:00,2023-01-10 06:00:00,19,T,temperature
新北市,2023-01-10 06:00:00,2023-01-10 18:00:00,19,T,temperature
新北市,2023-01-10 18:00:00,2023-01-11 06:00:00,18,T,temperature
新北市,2023-01-11 06:00:00,2023-01-11 18:00:00,20,T,temperature
新北市,2023-01-11 18:00:00,2023-01-12 06:00:00,19,T,temperature
新北市,2023-01-12 06:00:00,2023-01-12 18:00:00,22,T,temperature
新北市,2023-01-12 18:00:00,2023-01-13 06:00:00,20,T,temperature
新北市,2023-01-13 06:00:00,2023-01-13 18:00:00,22,T,temperature
新北市,2023-01-13 18:00:00,2023-01-14 06:00:00,20,T,temperature
新北市,2023-01-14 06:00:00,2023-01-14 18:00:00,21,T,temperature
新北市,2023-01-14 18:00:00,2023-01-15 06:00:00,20,T,temperature
宜蘭縣,2023-01-08 00:00:00,2023-01-08 06:00:00,15,T,temperature
宜蘭縣,2023-01-08 06:00:00,2023-01-08 18:00:00,18,T,temperature
宜蘭縣,2023-01-08 18:00:00,2023-01-09 06:00:00,17,T,temperature
宜蘭縣,2023-01-09 06:00:00,2023-01-09 18:00:00,19,T,temperature
宜蘭縣,2023-01-09 18:00:00,2023-01-10 06:00:00,17,T,temperature
宜蘭縣,2023-01-10 06:00:00,2023-01-10 18:00:00,19,T,temperature
宜蘭縣,2023-01-10 18:00:00,2023-01-11 06:00:00,18,T,temperature
宜蘭縣,2023-01-11 06:00:00,2023-01-11 18:00:00,19,T,temperature
宜蘭縣,2023-01-11 18:00:00,2023-01-12 06:00:00,18,T,temperature
宜蘭縣,2023-01-12 06:00:00,2023-01-12 18:00:00,21,T,temperature
宜蘭縣,2023-01-12 18:00:00,2023-01-13 06:00:00,19,T,temperature
宜蘭縣,2023-01-13 06:00:00,2023-01-13 18:00:00,21,T,temperature
宜蘭縣,2023-01-13 18:00:00,2023-01-14 06:00:00,19,T,temperature
宜蘭縣,2023-01-14 06:00:00,2023-01-14 18:00:00,22,T,temperature
